time,h2_prod_kg,total_elec_cons_kw,grid_elec_cons_kw,solar_elec_cons_kw
2016-05-05 05:50:00,1.645363319735109,493.6089959205327,12.728995920532714,480.88
2016-05-05 06:00:00,2.023003346598243,606.9010039794729,13.90100397947287,593.0
2016-05-05 06:10:00,2.4006433734613766,720.193012038413,15.073012038413026,705.12
2016-05-05 06:20:00,2.960583985818526,888.1751957455579,21.115195745557873,867.06
2016-05-05 06:30:00,3.520524598175675,1056.1573794527026,27.15737945270272,1029.0
2016-05-05 06:40:00,4.080465210532825,1224.1395631598475,33.19956315984757,1190.9399999999998
2016-05-05 06:50:00,4.640405822889974,1392.1217468669922,39.241746866992415,1352.8799999999999
2016-05-05 07:00:00,5.200346435247123,1560.103930574137,45.283930574137266,1514.82
2016-05-05 07:10:00,5.760287047604273,1728.0861142812819,51.326114281282116,1676.7599999999998
2016-05-05 07:20:00,6.2384224573426845,1871.5267372028054,56.306737202805685,1815.2199999999998
2016-05-05 07:30:00,6.7165578670810975,2014.9673601243292,61.28736012432925,1953.6799999999998
2016-05-05 07:40:00,7.194693276819509,2158.4079830458527,66.26798304585282,2092.14
2016-05-05 07:50:00,7.672828686557922,2301.8486059673764,71.24860596737638,2230.6
2016-05-05 08:00:00,8.150964096296333,2445.2892288888997,76.22922888889995,2369.06
2016-05-05 08:10:00,8.629099506034745,2588.7298518104235,81.20985181042352,2507.52
2016-05-05 08:20:00,9.135630195486197,2740.6890586458594,104.0190586458594,2636.67
2016-05-05 08:30:00,9.64216088493765,2892.6482654812953,126.82826548129529,2765.82
2016-05-05 08:40:00,10.148691574389105,3044.607472316731,149.6374723167312,2894.97
2016-05-05 08:50:00,10.655222263840558,3196.566679152167,172.44667915216706,3024.12
2016-05-05 09:00:00,11.161752953292009,3348.525885987603,195.25588598760297,3153.27
2016-05-05 09:10:00,11.668283642743463,3500.485092823039,218.06509282303887,3282.42
2016-05-05 09:20:00,11.72356970228622,3517.070910685866,181.72091068586573,3335.35
2016-05-05 09:30:00,11.778855761828975,3533.6567285486926,145.3767285486926,3388.28
2016-05-05 09:40:00,11.834141821371732,3550.2425464115195,109.03254641151943,3441.21
2016-05-05 09:50:00,11.88942788091449,3566.8283642743463,72.6883642743463,3494.14
2016-05-05 10:00:00,11.944713940457243,3583.414182137173,36.344182137173156,3547.07
2016-05-05 10:10:00,12.0,3600.0,0.0,3600.0
2016-05-05 10:20:00,12.0,3600.0,0.0,3600.0
2016-05-05 10:30:00,12.0,3600.0,0.0,3600.0
2016-05-05 10:40:00,12.0,3600.0,0.0,3600.0
